year,Number,Total_per_dist,per_under_15k,15k_to_25k,25k_to_35k,35k_to_50k,50k_to_75k,75k_to_100k,100k_to_150k,150k_to_200k,per_over_200k,Median_income_est,Margin of error,mean_income_est,Margin of error,Race
2022,"131,400",100,8.3,7.4,7.6,10.6,16.2,12.3,16.4,9.2,11.9,"74,580",968,"106,400","1,034",all
2021,"131,200",100,8.4,7.7,7.5,10.4,15.3,12.2,16.1,9.1,13.3,"76,330",653,"110,300","1,110",all
2020,"129,200",100,8.1,7.7,7.5,10.3,15.6,12.1,16.5,9,13.2,"76,660",992,"109,900","1,183",all
2019,"128,500",100,7.7,7.1,7.4,10.4,16,12,16.9,9.3,13.4,"78,250","1,030","111,700","1,187",all
2018,"128,600",100,8.5,7.8,8,10.8,15.9,12.7,16.2,8.6,11.4,"73,030",799,"104,100","1,038",all
2017,"127,700",100,8.7,8.2,7.6,11.8,15.5,12.3,16.1,8.2,11.6,"72,090",624,"103,300","1,107",all
2017,"127,600",100,8.7,8.2,7.7,11.8,15,12.5,16.1,8.6,11.2,"72,370",650,"101,700","1,009",all
2016,"126,200",100,9,8,8,11.5,16.2,12.3,16.1,8.3,10.6,"70,840",861,"99,760",926,all
2015,"125,800",100,9.1,8.8,8.3,12.1,15.5,12.1,16,8.4,9.6,"68,410",639,"95,950",802,all
2014,"124,600",100,10.1,9.2,8.5,12.3,16,12.2,15,7.9,8.9,"64,900",780,"91,610",887,all
2013,"123,900",100,10,9.3,8.7,11.7,16.3,12.4,15.1,7.6,9,"65,740","1,320","92,250","1,340",all
2013,"123,000",100,9.9,9.6,8.5,12.5,16.7,12.5,15,7.5,7.9,"63,720",557,"89,120","1,007",all
2012,"122,500",100,9.9,9.6,9.1,12.4,16.5,12.4,15,7.4,7.6,"63,350",427,"88,500",860,all
2011,"121,100",100,9.7,9.3,9.3,12.4,16.6,12.7,15,7.3,7.7,"63,350",523,"88,190",766,all
2010,"119,900",100,9.6,9.5,9.1,12.1,16.5,12.6,15.3,7.6,7.7,"64,300",698,"87,940",773,all
2009,"117,500",100,8.9,8.9,9.4,11.9,17,12.9,15.6,7.5,7.9,"65,850",464,"89,920",529,all
2008,"117,200",100,8.9,8.8,9.3,12,16.7,12.8,16.1,7.6,7.9,"66,280",297,"90,150",524,all
2007,"116,800",100,8.5,9.1,8.5,11.6,16.5,13,16.4,8,8.4,"68,610",315,"92,340",530,all
2006,"116,000",100,8.5,8.4,8.4,12.7,17,12.7,16.1,7.7,8.4,"67,520",477,"93,260",592,all
2005,"114,400",100,8.9,8.8,8.6,11.8,17.5,12.6,16.3,7.4,8,"66,780",368,"91,310",567,all
2004,"113,300",100,9,8.9,8.7,12.5,17.1,12.7,16.1,7.3,7.7,"65,760",478,"89,690",556,all
2003,"112,000",100,8.9,9.3,8.6,12,16.7,13,16,7.9,7.6,"65,860",470,"89,810",540,all
2002,"111,300",100,8.8,9.2,8.4,12.4,16.7,13,16.4,7.7,7.4,"65,820",355,"89,790",554,all
2001,"109,300",100,8.4,9,8.6,12.1,16.9,13.2,16.5,7.6,7.7,"66,360",333,"91,470",600,all
2000,"108,200",100,8.2,8.8,8.2,12.6,17,13.3,16.6,7.6,7.7,"67,470",349,"91,810",595,all
1999,"106,400",100,8.1,8.9,8.7,12.2,17,13.2,16.7,7.5,7.7,"67,650",520,"90,990",777,all
1998,"103,900",100,8.7,9,8.7,12,17.4,13.5,16.7,7.3,6.8,"65,980",642,"87,980",781,all
1997,"102,500",100,9.2,9.3,9.2,12.1,17.7,13.4,16.1,6.7,6.3,"63,640",484,"85,460",786,all
1996,"101,000",100,9.4,9.8,8.9,12.9,17.6,13.5,16,6.2,5.7,"62,350",517,"82,780",763,all
1995,"99,630",100,9.4,9.7,9.4,12.6,18.4,13.6,15.5,6.2,5.3,"61,440",584,"81,030",730,all
1994,"98,990",100,10.2,10.1,9.3,13.2,18,13,15.2,5.8,5.2,"59,550",446,"79,610",704,all
